 	X	Y	XM	YM
1	322.493	253.560	322.315	253.547
2	322.506	253.613	322.324	253.606
3	322.445	253.601	322.261	253.588
4	322.505	253.563	322.313	253.557
5	322.572	253.593	322.393	253.585
6	322.581	253.454	322.390	253.448
7	322.558	253.559	322.374	253.554
8	322.500	253.611	322.319	253.606
9	322.508	253.634	322.326	253.638
10	322.488	253.662	322.309	253.655
11	322.385	253.491	322.198	253.489
12	322.438	253.432	322.245	253.435
13	322.448	253.564	322.269	253.556
14	322.280	253.624	322.088	253.624
15	322.213	253.439	322.031	253.440
16	322.175	253.328	321.990	253.333
17	322.140	253.271	321.954	253.265
18	322.167	253.126	321.980	253.129
19	322.081	253.232	321.907	253.239
20	322.098	253.225	321.909	253.230
21	322.093	253.173	321.911	253.177
22	321.962	253.134	321.777	253.140
23	322.050	253.107	321.862	253.111
24	321.992	253.187	321.805	253.189
25	322.007	253.240	321.822	253.234
26	321.976	253.233	321.790	253.224
27	321.964	253.211	321.768	253.214
28	321.997	253.265	321.807	253.261
29	321.978	253.438	321.788	253.448
30	322.017	253.357	321.821	253.351
31	322.128	253.346	321.945	253.354
32	322.033	253.310	321.850	253.315
33	321.862	253.163	321.682	253.161
34	321.778	253.023	321.590	253.027
35	321.852	253.018	321.665	253.027
36	321.873	253.086	321.683	253.086
37	321.912	253.059	321.715	253.062
38	321.925	252.910	321.730	252.909
39	321.898	253.179	321.704	253.169
40	321.810	253.387	321.621	253.382
41	321.789	253.274	321.581	253.272
42	321.828	253.219	321.629	253.213
43	321.839	253.331	321.641	253.325
44	321.711	253.306	321.507	253.297
45	321.722	253.330	321.529	253.318
46	321.725	253.249	321.523	253.237
47	321.758	253.366	321.562	253.358
48	321.767	253.355	321.575	253.350
49	321.643	253.452	321.448	253.447
50	321.631	253.485	321.453	253.477
51	321.673	253.401	321.476	253.395
52	321.764	253.286	321.577	253.279
53	321.633	253.502	321.438	253.486
54	321.452	253.399	321.264	253.381
55	321.336	253.485	321.156	253.464
56	321.239	253.668	321.053	253.654
57	321.091	253.675	320.902	253.663
58	321.092	253.623	320.905	253.609
59	320.918	253.542	320.731	253.528
60	320.942	253.550	320.750	253.538
61	320.941	253.485	320.754	253.478
62	320.876	253.606	320.685	253.590
63	320.939	253.601	320.751	253.582
64	320.754	253.679	320.563	253.669
65	320.823	253.601	320.639	253.594
66	320.741	253.660	320.559	253.659
67	320.694	253.765	320.507	253.758
